HorseName,Era,YearsActive,TotalStarts,Wins,WinRatePercent,Grade1Wins,TotalEarningsJPY_Millions,PrimaryDistance_meters,Surface
Deep Impact,2004-2006,3,14,12,85.7,7,1450,2400,Turf
Orfevre,2010-2013,4,21,12,57.1,6,1320,2400,Turf
Symboli Rudolf,1984-1986,3,16,13,81.3,7,680,2400,Turf
Kitasan Black,2015-2017,3,20,12,60.0,7,1870,3200,Turf
Tokai Teio,1990-1993,4,12,9,75.0,4,620,2400,Turf
El Condor Pasa,1997-1999,3,11,8,72.7,4,2400,Turf
Agnes Tachyon,2000-2001,2,4,4,100.0,2,350,2000,Turf
Vodka,2006-2009,4,26,10,38.5,7,1300,2400,Turf
Gentildonna,2011-2014,4,20,12,60.0,7,1720,2400,Turf
Contrail,2020-2021,2,11,8,72.7,5,1200,2400,Turf
Special Week,1997-1999,3,17,10,58.8,4,1000,2400,Turf
Narita Brian,1993-1995,3,21,12,57.1,5,1020,3000,Turf
Mejiro McQueen,1990-1993,4,21,12,57.1,4,870,3200,Turf
T M Opera O,1999-2001,3,26,14,53.8,7,1880,2400,Turf
Duramente,2015-2016,2,9,5,55.6,2,780,2400,Turf
Satono Diamond,2016-2018,3,10,6,60.0,2,850,3000,Turf
Shadai Isinglass,1979-1981,3,12,8,66.7,3,310,2400,Turf
Rice Shower,1992-1995,4,22,10,45.5,2,650,3200,Turf
Marvelous Sunday,1996-1998,3,15,10,66.7,3,560,2400,Turf
Silence Suzuka,1997-1998,2,16,9,56.3,3,640,2000,Turf
